Ticker,2018 MC,2019 MC,2020 MC,2021 MC
RPAD3,195174287.79138294,494819470.6561639,490013137.86527973,501352273.6858679
LIGT3,6199950992.587783,9007897624.26597,8959280472.67342,4566249775.824176
TASA3,561244306.7349974,598738727.5970994,1859487923.7137642,2871836784.1514187
B3SA3,44389854146.98805,75726463010.43974,117329410971.49237,67351366552.437096
AMER3,37545926957.19145,56825379423.41626,68351367024.65159,28548289220.992046
EQMA3B,3843784720.4263887,5765676821.692177,6157654830.380158,5613800543.538243
BEES3,1138918518.4873815,1846150076.862817,1676919834.175547,1593398633.3066695
CSRN3,2195261789.22681,2707740770.4617295,2555919740.340169,2640322124.97511
MDIA3,13060221333.766542,11641299181.147102,10603652221.48981,7990674638.052933
PTBL3,624924022.8633423,667103444.6168823,864671087.0239258,1359114805.5240479
GRND3,6191760702.42931,9631391785.938457,6856237557.499284,7801901515.5089035
GEPA3,2354261151.116717,3791639939.3537216,3673036715.5011177,3021865430.3886924
DASA3,14169044966.43284,30927891873.597504,39237217353.92164,18485201448.93834
EGIE3,21958043775.0,35487973502.834305,32682296712.845203,30741759910.41061
CEPE3,1385550781.0302732,1458065212.5488281,8489528809.619142,8689253262.011719
POSI3,300673662.67821443,1367796482.7237215,689543465.7009548,1520059542.223011
CSMG3,5923212135.038718,6729263987.43306,5882847561.573729,4819390777.544784
DTCY3,26714641.061544422,56768608.93845558,82147519.2738533,84039807.12308884
COGN3,16423790628.985884,21414905102.72096,8674629083.906628,4608982148.998919
ATOM3,43680379.78441169,29532883.867788505,56943651.44498741,55043475.026609436
SYNE3,1328002787.8197737,3878684066.1682277,2091222797.5521338,1099036784.9000657
WLMM3,179200907.45085323,470756144.57097924,837478822.8595241,1350504070.0449848
SUZB3,49681347270.27135,52905704299.790535,78051916477.39491,80145208568.3008
NORD3,9071440.889638238,31849364.969502416,41649169.81837795,84092917.64027686
UNIP3,2275237345.2378173,2553454297.8349137,3728551121.694646,9003562217.742903
TOTS3,5340013289.515669,12845733874.434406,17291279074.562347,17415353952.860256
CMIG3,11102804359.214563,12272352715.873499,13953581849.339823,19650004052.598103
BLUT3,16713935.61706543,5521120.119667053,4165935.9162330627,8281679.880332947
ABEV3,220247452198.87775,274383566565.78036,236081515042.12704,242841870315.5041
LREN3,36045236681.346634,53224166366.84329,42016382703.542465,24088576387.306423
ATMP3,673053336.7002941,237435890.23619878,61428854.34550149,69441312.50052679
WEGE3,34614292181.23203,70563639118.97603,156112298285.61758,137431807872.15318
MTSA3,109684863.86704102,148601585.79944196,235749445.8947283,454795942.62857145
AFLT3,307817343.6977317,619709376.4273348,600903045.3109463,559563975.0350397
