Ticker,2019 MC,2020 MC,2021 MC
IGBR3,40641252.33309404,125050007.17875089,31887751.83058148
SQIA3,2098952726.5136719,2013281086.5234375,1417401274.8779297
UGPA3,26408347380.194466,24917231803.977093,15821992368.1535
ENAT3,3677382883.563302,3078133403.1265044,3502074012.5033336
OSXB3,10294090.611215746,63842252.563162304,21469633.07189294
TEND3,2839498986.2168736,2885159176.0560675,1607954776.6597514
TCSA3,1347231303.8330078,735455791.1499023,265765304.27703857
AZEV3,53121626.4551269,102508039.32919784,86601618.27087069
CALI3,3849741.947043035,3849741.947043035,3849741.947043035
LUPA3,55904062.750446804,70462416.22142792,154900848.9982128
CYRE3,10101199955.667784,10851678262.639324,6067472745.392639
TGMA3,2347773155.032061,1705057909.5768461,1030606259.7835006
BMKS3,117028018.89450009,110820156.5518331,108407856.74940805
RSID3,154203690.11694673,112102028.06487146,160121601.415436
CEBR3,-39936261.52815566,-123478651.41468392,1163329893.405088
EKTR3,4021923233.647656,3767451562.2320313,6001042652.279688
CPFE3,31846136897.289207,32880497803.36158,30914867695.577087
REDE3,15789158548.624105,20897638232.15127,13801491987.749434
MERC3,94111918.2322522,327949179.7431205,337257493.7759336
CRDE3,70347457.66528983,67093557.49004932,40207691.308770604
BMGB4,5030028578.811671,3299986338.271095,1819524700.4535067
AALR3,2119626375.735294,1306314524.5253558,1761759289.0910225
BRPR3,6649694483.718908,4591790568.492079,3466036717.1171274
ODPV3,7984152181.698647,7179695640.561461,6537875713.919898
TIMS3,37927826486.971886,35459007074.6977,31828391921.317745
RPMG3,346543613.3234534,190869724.27366465,189516039.54483825
BRAP3,9452477203.544504,16038560826.36187,9318267627.997326
CSNA3,18183837228.520226,41131452186.46279,33618354630.64023
AZUL4,20280621969.307205,13675848397.649918,8476938467.715476
EPAR3,90946871.35360284,168667817.62408015,194971072.55945987
PNVL3,2861406177.6705623,3180745465.4018183,1978792504.476316
MILS3,2482665460.7702637,1461090273.0768378,1563255887.627813
